"|","|__name","|__year","|__position","|__rating","|__url"
"","Ustad Hotel","2012","71","8.1","https://www.imdb.com/title/tt2218988/"
"","OMG: Oh My God!","2012","84","8.1","https://www.imdb.com/title/tt2283748/"
"","Kahaani","2012","88","8.1","https://www.imdb.com/title/tt1821480/"
"","Barfi!","2012","96","8.0","https://www.imdb.com/title/tt2082197/"
"","Ship of Theseus","2012","120","7.9","https://www.imdb.com/title/tt1773764/"
"","Pizza","2012","135","7.9","https://www.imdb.com/title/tt2585562/"
"","English Vinglish","2012","156","7.8","https://www.imdb.com/title/tt2181931/"
"","Vicky Donor","2012","171","7.7","https://www.imdb.com/title/tt2317337/"
"","Eega","2012","191","7.6","https://www.imdb.com/title/tt2258337/"
"","Thuppakki","2012","207","7.6","https://www.imdb.com/title/tt2187153/"
"","Drishyam","2013","32","8.2","https://www.imdb.com/title/tt3417422/"
"","Soodhu Kavvum","2013","52","8.1","https://www.imdb.com/title/tt2877108/"
"","Bhaag Milkha Bhaag","2013","56","8.1","https://www.imdb.com/title/tt2356180/"
"","Queen","2013","75","8.1","https://www.imdb.com/title/tt3322420/"
"","Lucia","2013","94","8.1","https://www.imdb.com/title/tt2358592/"
"","Ugly","2013","115","8.0","https://www.imdb.com/title/tt2882328/"
"","Special Chabbis","2013","119","7.9","https://www.imdb.com/title/tt2377938/"
"","Ankhon Dekhi","2013","129","7.9","https://www.imdb.com/title/tt3614516/"
"","Mumbai Police","2013","141","7.9","https://www.imdb.com/title/tt2924472/"
"","Memories","2013","142","7.9","https://www.imdb.com/title/tt3124456/"
"","The Lunchbox","2013","160","7.8","https://www.imdb.com/title/tt2350496/"
"","Kai po che!","2013","188","7.7","https://www.imdb.com/title/tt2213054/"
"","Madras Cafe","2013","201","7.6","https://www.imdb.com/title/tt2855648/"
"","Raanjhanaa","2013","230","7.5","https://www.imdb.com/title/tt2359810/"
"","Jolly LLB","2013","239","7.5","https://www.imdb.com/title/tt2621000/"
"","Kaakkaa Muttai","2014","44","8.2","https://www.imdb.com/title/tt3973410/"
"","Bangalore Days","2014","49","8.2","https://www.imdb.com/title/tt3668162/"
"","Jigarthanda","2014","55","8.1","https://www.imdb.com/title/tt3569782/"
"","PK","2014","91","8.1","https://www.imdb.com/title/tt2338151/"
"","Haider","2014","112","8.0","https://www.imdb.com/title/tt3390572/"
"","Ulidavaru Kandanthe","2014","125","7.9","https://www.imdb.com/title/tt3394420/"
"","Manam","2014","159","7.8","https://www.imdb.com/title/tt2926068/"
"","Velaiilla Pattadhari","2014","184","7.7","https://www.imdb.com/title/tt3822396/"
"","Ugramm","2014","197","7.6","https://www.imdb.com/title/tt3320542/"
"","Highway","2014","208","7.6","https://www.imdb.com/title/tt2980794/"
"","Kaththi","2014","214","7.6","https://www.imdb.com/title/tt3801314/"
"","1 - Nenokkadine","2014","217","7.6","https://www.imdb.com/title/tt2375559/"
"","Visaaranai","2015","18","8.3","https://www.imdb.com/title/tt4991384/"
"","Thani Oruvan","2015","31","8.2","https://www.imdb.com/title/tt4987556/"
"","Premam","2015","45","8.2","https://www.imdb.com/title/tt4679210/"
"","Papanasam","2015","53","8.1","https://www.imdb.com/title/tt4429128/"
"","Talvar","2015","59","8.1","https://www.imdb.com/title/tt4934950/"
"","Nil Battey Sannata","2015","64","8.1","https://www.imdb.com/title/tt5005684/"
"","Drishyam","2015","65","8.1","https://www.imdb.com/title/tt4430212/"
"","Masaan","2015","82","8.1","https://www.imdb.com/title/tt4635372/"
"","Bajrangi Bhaijaan","2015","124","7.9","https://www.imdb.com/title/tt3863552/"
"","Manjhi: The Mountain Man","2015","134","7.9","https://www.imdb.com/title/tt3449292/"
"","Charlie","2015","148","7.8","https://www.imdb.com/title/tt5082014/"
"","Baby","2015","153","7.8","https://www.imdb.com/title/tt3848892/"
"","Bãhubali: The Beginning","2015","154","7.8","https://www.imdb.com/title/tt2631186/"
"","RangiTaranga","2015","176","7.7","https://www.imdb.com/title/tt4432480/"
"","Aligarh","2015","179","7.7","https://www.imdb.com/title/tt5121000/"
"","Detective Byomkesh Bakshy!","2015","209","7.6","https://www.imdb.com/title/tt3447364/"
"","Tanu Weds Manu Returns","2015","213","7.6","https://www.imdb.com/title/tt2140465/"
"","Piku","2015","218","7.6","https://www.imdb.com/title/tt3767372/"
"","Natsamrat","2016","8","8.4","https://www.imdb.com/title/tt5311546/"
"","Dangal","2016","19","8.3","https://www.imdb.com/title/tt5074352/"
"","Aruvi","2016","37","8.2","https://www.imdb.com/title/tt5867800/"
"","Dhuruvangal Pathinaaru","2016","46","8.2","https://www.imdb.com/title/tt6380520/"
"","Sairat","2016","61","8.1","https://www.imdb.com/title/tt5312232/"
"","Maheshinte Prathikaaram","2016","81","8.1","https://www.imdb.com/title/tt4851630/"
